# Yarn → Mojmap 成员对照表（m413 gradlew mojmapMembers 生成，勿手改）
# 过滤：仅本仓源码出现过的标识符 × 名字确实变了的成员；列=种类(M/F)	Yarn名	Mojmap名	宿主类(样本)
F	ITEM	DATA_ITEM_STACK_ID	Display$ItemDisplay
F	ITEM	FRONT	BlockModel$GuiLight
F	JSON	GSON	RealmsClient
F	KEY	SECTION_NAME	AnimationMetadataSection,VillagerMetaDataSection
F	KEY	TOKEN	AndCondition,OrCondition
F	KEY	TYPE	JoinWorldTask,ServerResourcePackConfigurationTask,SynchronizeRegistriesTask
F	KEYS	NAME_MAP	InputConstants$Key
F	LINES	POSITION_COLOR_NORMAL	DefaultVertexFormat
F	LOGO	MOJANG_STUDIOS_LOGO_LOCATION	LoadingOverlay
F	MAX_VALUE	INFINITE	EntitySelector
F	MIN	LOW	IntTag$Cache,LongTag$Cache,ShortTag$Cache
F	NONE	DEFAULT	ChainModifiers,PackSource
F	NONE	EMPTY	AdvancementRewards,Crypt$SaltSignaturePair,ResourceMetadata
F	NONE	NO_TRANSFORMS	ItemTransforms
F	NONE	NULL	EntityInLevelCallback
F	NONE	UNLIT	TrialSpawnerState$LightLevel
F	NONE	UNSIGNED	SignedMessageChain$Encoder
F	NONE	ZERO	DimensionPadding,EntityAttachment$Fallback,PartPose
F	NORTH	MIN_Z	FaceInfo$Constants
F	NORTH	NORTH_0	RotationSegment
F	NOTIFY_ALL	UPDATE_ALL	Block
F	NOTIFY_LISTENERS	UPDATE_CLIENTS	Block
F	NOTIFY_NEIGHBORS	UPDATE_NEIGHBORS	Block
F	NULL	NOT_SET	StringTag
F	ON	OPTION_ON	CommonComponents
F	OUTPUT_START	USE_ROW_SLOT_START	StonecutterMenu
F	PAPER	PAPER_INGREDIENT	FireworkRocketRecipe
F	PASS	SUCCESSFUL_TEST_CHAR	MultipleTestTracker
F	RED	COLOR_RED	MapColor
F	RED	OUTER_CIRCLE_COLOR	BreezeDebugRenderer
F	RED	REDSTONE_PARTICLE_COLOR	DustParticleOptions
F	RED	SIDEBAR_DEFAULT	StyledFormat
F	REDSTONE	REDSTONE_BLOCKS	CreativeModeTabs
F	ROOT	ROOT_RECIPE_ADVANCEMENT	RecipeBuilder
F	ROOT	ROOT_REGISTRY_NAME	Registries
F	ROOT	WRITABLE_REGISTRY	BuiltInRegistries
F	S2C	CLIENTBOUND	ConfigurationProtocols,LoginProtocols,StatusProtocols
F	S2C	CLIENTBOUND_TEMPLATE	GameProtocols
F	SHAPE	AABB	BaseCoralFanBlock,BaseCoralPlantTypeBlock,BaseTorchBlock,WaterlilyBlock
F	SHAPE	BLOCK_SUPPORT_SHAPE	ChorusFlowerBlock
F	SHAPE	BOUNDING_BOX	DecoratedPotBlock
F	SHAPE	COLLIDER	SculkShriekerBlock
F	SHAPE	SAPLING_SHAPE	BambooSaplingBlock
F	SHAPES	AABBS	PiglinWallSkullBlock
F	SHAPES	SHAPES_CACHE	RedStoneWireBlock
F	SHAPES	SHAPE_BY_AGE	TorchflowerCropBlock
