# Yarn → Mojmap 成员对照表（m413 gradlew mojmapMembers 生成，勿手改）
# 过滤：仅本仓源码出现过的标识符 × 名字确实变了的成员；列=种类(M/F)	Yarn名	Mojmap名	宿主类(样本)
F	entities	surroundEntities	SupportBlockRenderer
F	entity	entityTarget	FillPlayerHead
F	entity	horse	HorseInventoryMenu,HorseInventoryScreen,RandomStandGoal
F	entity	mob	BodyRotationControl,ClimbOnTopOfPowderSnowGoal,CombatTracker,JumpControl,LookControl,MoveControl
F	entity	owner	ArmorSlot
F	entity	resolutionContext	SetLoreFunction,SetNameFunction
F	entity	source	EntityBasedExplosionDamageCalculator,Explosion
F	entity	target	PrepareRamNearestTarget$RamCandidate
F	entries	attributeDescriptionByName	MinecraftServerStatistics
F	entries	attributes	ClientboundUpdateAttributesPacket
F	entries	buffer	ChatLog
F	entries	contents	HolderSet$Direct,HolderSet$Named
F	entries	cooldowns	ItemCooldowns
F	entries	delegate	AbstractSelectionList$TrackedList
F	entries	hotbars	HotbarManager
F	entries	items	WeightedRandomList
F	entries	itemsById	SynchedEntityData,SynchedEntityData$Builder
F	entries	keyframes	Timeline
F	entries	layers	BannerPatternLayers$Builder
F	entries	notifications	PeriodicNotificationManager$NotificationTask
F	entries	parameters	MultiNoiseBiomeSourceParameterList
F	entries	result	SimpleWeightedRandomList$Builder
F	entries	slots	TextureMapping
F	entries	subtitles	SubtitleOverlay
F	entries	tags	CompoundTag
F	entries	timedToasts	Tutorial
F	entries	trackedGameEvents	GameEventListenerRenderer
F	entries	values	Climate$ParameterList,Ingredient
F	entry	serverEntity	ChunkMap$TrackedEntity
F	entry	value	SingleValuePalette
F	entrySet	contentsSet	HolderSet$Direct
F	errors	entries	ErrorCollector$LongestOnly
F	errors	errorCollector	ParseState
F	errors	problems	ProblemReporter$Collector
F	event	gameEvent	GameEvent$ListenerInfo
F	events	queue	TimerQueue
F	experienceLevel	level	PlayerPredicate$Builder
F	experienceLevel	totalExperience	ClientboundSetExperiencePacket
F	expiry	durationTicks	Tutorial$TimedToast
F	expiry	memoryTimeToLive	MobSensor
F	expiry	timeToLive	ExpirableValue
F	face	direction	BakedQuad,HasSturdyFacePredicate
F	factory	constructor	LootPoolSingletonContainer$DummyBuilder,MenuType
F	factory	keyResolver	KeybindResolver
F	factory	samplerFactory	ClientMetricsSamplersProvider,ServerMetricsSamplersProvider
F	fallback	defaultValue	Attribute
F	fallback	supplier	AttributeMap
F	fallback	valueIfOutside	WoodlandMansionPieces$SimpleGrid
F	fight	dragonFight	EnderDragon
F	file	content	FilePackResources$FileResourcesSupplier
F	file	destination	JUnitLikeTestReporter
F	file	optionsFile	HotbarManager
F	file	outputFile	FileZipper
F	file	packDir	PackSelectionScreen
F	file	pathContents	LinkFSPath
F	file	saveFile	CrashReport
F	filter	bakedPredicate	CopyComponentsFunction
F	filter	pattern	NbtPathArgument$MatchElementNode,NbtPathArgument$MatchObjectNode
F	filtered	renderMessagedFiltered	SignText
F	first	container1	CompoundContainer
F	first	firstEntry	ScreenNarrationCollector$1
F	first	lower	NonOverlappingMerger
F	first	property1	PropertyDispatch$C2,PropertyDispatch$C3,PropertyDispatch$C4,PropertyDispatch$C5
F	flags	modifiers	BuildContexts$Continuation,ExecuteCommand
F	flags	relativeArguments	ClientboundPlayerPositionPacket
F	floor	pointingUp	Column$Ray
F	format	audioFormat	JOrbisAudioStream
F	format	formatting	BossEvent$BossBarColor
F	format	vertexFormat	ShaderInstance
F	frame	glass	EndCrystalRenderer
F	frame	type	DisplayInfo
F	function	trigger	BehaviorBuilder
F	furnace	isFurnaceMenu	OverlayRecipeComponent
F	gameMode	currentlyHovered	GameModeSwitcherScreen
F	gameMode	gameModeForPlayer	ServerPlayerGameMode
F	gameMode	gameType	LevelSettings,PlayerPredicate$Builder
F	gameMode	gamemode	DedicatedServerProperties
F	gameMode	icon	GameModeSwitcherScreen$GameModeSlot
F	gameMode	localPlayerMode	MultiPlayerGameMode
F	gcCount	garbageCollections	JfrStatsParser
F	getter	query	ExperienceCommand$Type
F	getter	stateSupplier	SwitchGrid$SwitchBuilder
F	grid	gridLayout	RealmsMainScreen$NotificationMessageEntry
F	grid	layout	ConfirmExperimentalFeaturesScreen,DisconnectedScreen,GridLayoutTab,NoticeWithLinkScreen,TabNavigationBar
F	grid	wrapped	LinearLayout
F	group	recipeGroupPrefix	BlockFamily
F	group	tab	CreativeModeTab$ItemDisplayBuilder
F	groups	tags	ClientboundUpdateTagsPacket
F	handle	monitor	Monitor
F	handle	window	Window
F	handler	bundlerInfo	PacketBundlePacker
F	handler	callbacks	PersistentEntitySectionManager,TransientEntitySectionManager
F	handler	connection	PingDebugMonitor
F	handler	menu	AbstractContainerScreen,FurnaceFuelSlot,LecternScreen,ServerPlaceRecipe,TransientCraftingContainer
F	handler	output	LegacyServerPinger
F	handler	splitter	Font
F	hashCode	hash	Node,ServerPackManager$ServerPackData
F	head	headParts	HorseModel
F	height	axis2Size	BlockUtil$FoundRectangle
F	height	depth	SinglePieceStructure
F	height	edge	Column$Ray
F	height	frameHeight	AnimationMetadataSection
F	height	h	ClientBundleTooltip$Texture
F	height	minHeight	SpriteLoader
F	height	screenHeight	PostChain
F	height	storageY	Stitcher
F	height	yTexSize	MaterialDefinition
F	hit	hitResult	UseOnContext
F	home	poiPos	Raider$RaiderMoveThroughVillageGoal
F	hovered	isHovered	AbstractWidget
F	icon	iconItemStack	CreativeModeTab
F	icon	renderStack	GameModeSwitcherScreen$GameModeIcon
F	id	assetName	ArmorMaterial$Layer
F	id	backendName	ReportReason
F	id	bit	PlayerModelPart
F	id	challenge	QueryThreadGs4$RequestChallenge
F	id	cutoutTexture	RenderStateShard$MultiTextureStateShard
F	id	data3d	Direction
F	id	entityId	ClientboundMoveEntityPacket
F	id	index	FogShape,LevelType,Slot
F	id	key	TelemetryProperty$GameMode,TelemetryProperty$ServerType
F	id	lastRecipe	RecipeManager$1
F	id	location	AbstractSoundInstance,Sound,SoundEvent,SpriteLoader,TextureAtlas
F	id	model	ModelLayerLocation
F	id	name	Activity,AdvancementType,BlockModel,CookingBookCategory,CopyComponentsFunction$Source,CraftingBookCategory
F	id	notifications	PeriodicNotificationManager
F	id	packDir	BuiltInPackSource
F	id	packedId	TropicalFish$Pattern
F	id	sequentialId	TimerQueue$Event
F	id	serializedName	ChatTrustLevel,FilterMask$Type,LoggedChatEvent$Type
F	id	stateName	VaultState
F	id	suggestionId	ClientboundCommandsPacket$ArgumentNodeStub
F	id	texture	RenderStateShard$TextureStateShard
F	id	textureLocation	FaviconTexture
F	id	version	DataVersion
F	ids	stackingIds	Ingredient
F	ids	values	CrudeIncrementalIntIdentityHashBiMap
F	index	arrayIndex	NoiseChunk
F	index	chatId	ChatSelectionScreen$ChatSelectionList$MessageEntry
F	index	cursor	RunningTrimmedMean
F	index	entityStorage	TransientEntitySectionManager
F	index	generation	ScreenNarrationCollector$NarrationEntry
F	index	id	Armadillo$ArmadilloState,CraftingBookCategory,Display$BillboardConstraints,ItemDisplayContext,Pose,Rarity
F	index	slot	Slot
F	index	value	TickPriority
F	index	visibleEntities	LevelEntityGetterAdapter
F	index	visibleEntityStorage	PersistentEntitySectionManager
F	info	details	DisconnectedScreen
F	info	generationInfo	ResettingGeneratedWorldTask
F	info	location	AbstractPackResources,Pack,VanillaPackResources
F	info	version	NativeModuleLister$NativeModuleInfo
F	input	container	StonecutterMenu
F	input	craftSlots	CraftingMenu,ResultSlot
F	input	inTarget	PostPass
F	input	ingredient	SimpleCookingRecipeBuilder,SingleItemRecipeBuilder
F	input	inputContainer	LoomMenu
F	input	inputSlots	ItemCombinerMenu
F	input	repairSlots	GrindstoneMenu
F	inputs	contents	StackedContents
F	inputs	ingredients	ShapelessRecipeBuilder
F	inputs	key	ShapedRecipeBuilder
F	instance	INSTANCE	TrueBlockPredicate
F	instance	toast	ToastComponent$ToastInstance
F	inventory	bodyArmorAccess	AbstractHorse
F	inventory	bookAccess	LecternBlockEntity
F	inventory	brewingStand	BrewingStandMenu
F	inventory	container	AbstractFurnaceMenu,CartographyTableMenu,ChestMenu,ShulkerBoxMenu,Slot
F	inventory	dispenser	DispenserMenu
F	inventory	enchantSlots	EnchantmentMenu
F	inventory	hopper	HopperMenu
F	inventory	horseContainer	HorseInventoryMenu
F	inventory	itemStacks	AbstractMinecartContainer,ChestBoat,MerchantContainer,ShulkerBoxBlockEntity
F	inventory	items	AbstractFurnaceBlockEntity,BarrelBlockEntity,BrewingStandBlockEntity,ChestBlockEntity,ChiseledBookShelfBlockEntity,DispenserBlockEntity
F	inventory	lectern	LecternMenu
F	ip	hostIp	QueryThreadGs4
F	ip	serverBindAddress	ChaseServer
F	ip	serverHost	ChaseClient
F	item	items	ItemPredicate$Builder
F	itemId	item	ItemStackComponentizationFix$ItemStackData
F	items	inventory	AbstractHorse
F	items	trades	TradeWithVillager
F	iterator	cursor	SectionPos$1
F	key	flagKey	AddFlagIfNotPresentFix
F	key	id	GossipType
F	key	name	Fox$Type,KeybindContents
F	key	user	StoredUserEntry
F	keys	jsonKeys	ChainedJsonException$Entry
F	label	motd	ServerData
F	last	latestChunkOnThread	BlockTintCache
F	lastMouseX	firstMouseX	GameModeSwitcherScreen
F	lastMouseY	firstMouseY	GameModeSwitcherScreen
F	layer	renderType	Material,MobAppearanceParticle
F	left	a	Tuple
F	left	leftSide	DecoratedPotRenderer
F	length	numSections	MineshaftPieces$MineShaftCorridor
F	length	position	StringSplitter$WidthLimitedCharSink
F	length	size	LocalSampleLogger,PackedBitStorage
F	length	steps	StrongholdPieces$FillerCorridor
F	level	anchor	ItemModelGenerator$Span
F	level	functionCompilationLevel	ServerFunctionLibrary
F	level	levels	BeaconBlockEntity
F	level	permissionLevel	CommandSourceStack
F	level	summary	WorldSelectionList$WorldListEntry
F	level	ticketLevel	ChunkHolder,Ticket
F	level	tier	BeaconScreen$BeaconPowerButton
F	levelName	worldName	QueryThreadGs4
F	lifecycle	registryLifecycle	MappedRegistry
F	lifecycle	worldGenSettingsLifecycle	PrimaryLevelData
F	light	composite	LightPredicate$Builder
F	light	lightLevel	VaultState
F	light	lightmap	ModelBlockRenderer$AmbientOcclusionFace
F	light	packedLightCoords	Font$StringRenderOutput
F	lightmap	lightmapState	RenderType$CompositeState,RenderType$CompositeState$CompositeStateBuilder
F	limit	limiter	LimitCount
F	limit	maxPlaceCount	NetherFortressPieces$PieceWeight,StrongholdPieces$PieceWeight
F	limit	maxResults	EntitySelector,EntitySelectorParser
F	line	sourceId	GlslPreprocessor$Context
F	lines	cachedTextAndWidth	MultiLineLabel$2
F	lines	cachedTooltip	Tooltip
F	lines	displayLines	MultilineTextField
F	lines	entries	MacroFunction
F	lines	frameItemHeight	RealmsMainScreen$NotificationMessageEntry
F	lines	message	DisconnectedRealmsScreen
F	lines	messageLines	SystemToast,UnsupportedGraphicsWarningScreen
F	lines	msgs	StatsComponent
F	link	nextLink	SignedMessageChain
F	link	previousLink	ChatSelectionLogFiller
F	link	uri	NoticeWithLinkScreen
F	link	url	ConfirmLinkScreen
F	list	idToT	IdMapper
F	list	result	NbtOps$HeterogenousListCollector,NbtOps$HomogenousListCollector
F	list	values	NbtOps$ByteListCollector,NbtOps$IntListCollector,NbtOps$LongListCollector
F	listener	recipient	GameEvent$ListenerInfo
F	listener	resizeHandler	HashMapPalette,LinearPalette,SingleValuePalette
F	listener	socket	RconThread
F	listener	vibrationListener	SculkSensorBlockEntity
F	lit	fullBright	ThrownItemRenderer
F	literal	contents	StringSplitter$LineComponent
F	literal	id	ClientboundCommandsPacket$LiteralNodeStub
F	loader	future	HttpTexture
F	loader	library	ServerFunctionManager
F	loader	soundManager	SoundEngine
F	loading	isReady	MinecraftServer
F	loading	loadingDotsWidget	RealmsLongRunningMcoTaskScreen
F	location	located	EntityPredicate$Builder
F	location	modelLocation	Variant
F	location	status	Boat
F	location	template	SinglePoolElement
F	log	bandwidthLogger	BandwidthDebugMonitor
F	log	delayTimer	PingDebugMonitor
F	log	sampleStorage	AbstractDebugChart
F	log	woodState	MineshaftStructure$Type
F	logs	files	EventLogDirectory$FileList
F	lookup	entityGetter	PersistentEntitySectionManager,TransientEntitySectionManager
F	lookup	lootDataResolver	LootContext
F	m	height	WoodlandMansionPieces$SimpleGrid
F	main	items	Inventory
F	map	effects	SetStewEffectFunction$Builder
F	map	storage	CommandStorage$Container
F	map	trades	VillagerTrades$EmeraldsForVillagerTypeItem
F	map	values	HashMapPalette
F	matrices	pose	GuiGraphics
F	matrix	pose	Font$StringRenderOutput
F	matrix	transformation	OctahedralGroup,SymmetricGroup3
F	max	mask	SegmentedAnglePrecision
F	max	maxExclusive	UniformFloat
F	max	maxInclusive	BiasedToBottomInt,ClampedInt,ClampedNormalInt,SurfaceRelativeThresholdFilter,UniformInt
F	max	maxValue	RealmsSlotOptionsScreen$SettingsSlider,WeightedListInt
F	maxCount	countLimit	EquipmentSlot
F	maxCount	limit	ParticleGroup
F	maxX	endX	SubShape
F	maxX	right	BakedGlyph
F	maxX	sizeX	StaticCache2D
F	maxX	x1	BakedGlyph$Effect
F	maxX	xMax	BitSetDiscreteVoxelShape
F	maxY	down	BakedGlyph
F	maxY	endY	SubShape
F	maxY	y1	BakedGlyph$Effect
F	maxY	yMax	BitSetDiscreteVoxelShape
F	merged	coords	IdenticalMerger
F	min	minInclusive	BiasedToBottomInt,ClampedInt,ClampedNormalInt,SurfaceRelativeThresholdFilter,UniformFloat,UniformInt
F	min	minValue	RealmsSlotOptionsScreen$SettingsSlider,WeightedListInt
F	minX	centerX	PathNavigationRegion
F	minX	left	BakedGlyph
F	minX	startX	SubShape
F	minX	x0	BakedGlyph$Effect
F	minX	xMin	BitSetDiscreteVoxelShape
F	minY	entityBottom	EntityCollisionContext
F	minY	lastCheckY	BeaconBlockEntity
F	minY	seaLevel	Drowned$DrownedSwimUpGoal
F	minY	startY	SubShape
F	minY	up	BakedGlyph
F	minY	y0	BakedGlyph$Effect
F	minY	yMin	BitSetDiscreteVoxelShape
F	mode	action	ServerboundClientCommandPacket,ServerboundPlayerCommandPacket
F	mode	blendFunc	BlendMode
F	mode	initialMode	StructureBlockEditScreen
F	mode	method	ClientboundSetObjectivePacket
F	model	catModel	CatCollarLayer
F	model	layerModel	SkeletonClothingLayer
F	model	signModel	SignEditScreen
F	model	template	TexturedModel
F	model	variant	Selector
F	modelLoader	entityModels	EntityRenderDispatcher
F	modelLoader	modelSet	EntityRendererProvider$Context
F	models	bakedRegistry	ModelManager
F	models	blockModelShaper	BlockRenderDispatcher
F	models	itemModelShaper	ItemRenderer
F	models	list	WeightedBakedModel,WeightedBakedModel$Builder
F	models	model	PlayerSkinWidget
F	models	modelByStateCache	BlockModelShaper
F	models	shapesCache	ItemModelShaper
F	mouse	lastMouse	CommandSuggestions$SuggestionsList
F	mouse	mouseHandler	Minecraft
F	mouseClicked	scrolling	StonecutterScreen
F	mouseX	xMouse	HorseInventoryScreen,InventoryScreen
F	mouseY	yMouse	HorseInventoryScreen,InventoryScreen
F	n	width	WoodlandMansionPieces$SimpleGrid
F	name	backendName	ReportType
F	name	comment	CubeDefinition
F	name	defaultPrefix	InputConstants$Type
F	name	description	EntityType,Environment,MetricCategory
F	name	displayName	StatType,WorldCreationUiState$SelectedGameMode
F	name	filename	ChainedJsonException$Entry
F	name	fixName	OptionsRenameFieldFix
F	name	functionId	FunctionCallback
F	name	id	CaveSurface,ClientboundCommandsPacket$ArgumentNodeStub,Condition$Operation,DataFetcher$Task,FeatureFlagUniverse,GameRules$Key
F	name	key	CrashReportCategory$Entry,Difficulty,EquipmentSlotGroup,GuiSpriteScaling$Type,PrioritizeChunkUpdates
F	name	label	EditGameRulesScreen$CategoryRuleEntry,EditGameRulesScreen$GameRuleEntry
F	name	layer	ModelLayerLocation
F	name	levelId	LevelSummary
F	name	levelName	LevelSettings
F	name	message	ClientHandshakePacketListenerImpl$State
F	name	objectiveName	ClientboundSetDisplayObjectivePacket,ClientboundSetObjectivePacket
F	name	optionName	RegionFileVersion
F	name	playerName	PlayerEntry
F	name	recipeFolderName	RecipeCategory
F	name	recipeGroup	BlockFamily$Variant
F	name	serializationKey	Heightmap$Types
F	name	symbol	Mirror
F	name	tag	TagEntry
F	name	tagId	FunctionTagCallback
F	name	telemetryName	Util$OS
F	name	textName	CommandSourceStack
F	name	title	ClientboundOpenScreenPacket,SimpleMenuProvider
F	name	type	MushroomCow$MushroomType,WorldUpgrader$AbstractUpgrader
F	nameKey	displayName	VillagerTrades$TreasureMapForEmeralds
F	narration	contents	ScreenNarrationCollector$NarrationEntry
F	narrow	widthTooNarrow	AbstractFurnaceScreen,CraftingScreen,InventoryScreen,RecipeBookComponent
F	nbt	data	IOWorker$PendingStore
F	nbt	defaultJigsawNBT	FeaturePoolElement
F	nbt	tag	AppendStatic,ClientboundBlockEntityDataPacket,ClientboundLevelChunkPacketData$BlockEntityInfo,ClientboundTagQueryPacket,CustomData,ItemStackComponentizationFix$ItemStackData
F	network	user	GameConfig
F	networkHandler	connection	ClientLevel,ClientSuggestionProvider,DebugQueryHandler,DebugSampleSubscriber,LocalPlayer,MultiPlayerGameMode
F	node	attachment	FancyTrunkPlacer$FoliageCoords
F	nodes	entries	ClientboundCommandsPacket
F	normal	worldPos	SheetedDecalTextureGenerator
F	offset	origin	CubeDefinition
F	offset	step	ChunkPalettedStorageFix$Direction$AxisDirection,Direction$AxisDirection,Direction8
F	offset	structurePos	StructureBlockEntity
F	offset	transform	EntityAnchorArgument$Anchor
F	offset	value	ConstantHeight
F	offset	writeOffset	ByteBufferBuilder
F	offset	y	CaveSurface
F	onClosed	onClose	PopupScreen,PopupScreen$Builder
F	onServer	active	InventoryMenu
F	open	active	EndPodiumFeature
F	open	shouldBeOpen	ChestLidController
F	open	visible	RecipeBookComponent
F	ordered	visualOrderText	MutableComponent
F	origin	firstTestNorthWestCorner	StructureGridSpawner
F	original	source	ArrayListDeque$ReversedView
F	other	second	Block$BlockStatePairKey
F	outline	isOutline	RenderType$CompositeRenderType
F	overlay	overlayState	RenderType$CompositeState,RenderType$CompositeState$CompositeStateBuilder
F	overlay	prefix	FilePackResources
F	owner	cachedOwner	Projectile
F	owner	guardian	Guardian$GuardianAttackSelector
F	owner	mob	Sensing
F	owner	ownerPlayer	Cat$CatRelaxOnOwnerGoal
F	owner	parentMob	EnderDragonPart
F	owner	player	PlayerAdvancements
F	owner	rangedAttackMob	RangedAttackGoal
F	owner	screen	CommandSuggestions
F	owner	target	ItemEntity
F	pack	source	Resource
F	packs	requests	ClientCommonPacketListenerImpl$PackConfirmScreen
F	parent	backgroundScreen	AddRealmPopupScreen
F	parent	bufferSource	OutlineBufferSource
F	parent	configureWorldScreen	RealmsSettingsScreen
F	parent	inventoryMenu	CreativeModeInventoryScreen$ItemPickerMenu
F	parent	keyBindsScreen	KeyBindsList
F	parent	lastScreen	AbstractReportScreen,AdvancementsScreen,ChatSelectionScreen,CreateWorldScreen,CreditsAndAttributionScreen,DirectJoinServerScreen
F	parent	model	ModelTemplate
F	parent	nextScreen	RealmsGenericErrorScreen
F	parent	parentScreen	ClientCommonPacketListenerImpl$PackConfirmScreen,RealmsSlotOptionsScreen
F	parent	previous	SafetyScreen
F	parent	screen	WorldSelectionList
F	parent	socialInteractionsScreen	SocialInteractionsPlayerList
F	parent	source	FriendlyByteBuf
F	parse	currentParse	CommandSuggestions
F	particle	flameParticle	TorchBlock
F	particle	options	AmbientParticleSettings
F	particle	particleType	TrialSpawner$FlameParticle
F	particle	smallExplosionParticles	ClientboundExplodePacket,Explosion
F	path	commandsPath	CommandHistory
F	path	compiledNbtPath	NbtContents
F	path	content	PathPackResources$PathResourcesSupplier
F	path	currentPath	DragonHoldingPatternPhase,DragonLandingApproachPhase,DragonStrafePlayerPhase,DragonTakeoffPhase
F	path	directory	ContentValidationException,PackOutput$Target
F	path	lastPath	Bee$BeeGoToHiveGoal
F	path	name	NativeModuleLister$NativeModuleInfo
F	path	outputFolder	PackOutput
F	path	packPath	PackSelectionScreen$Watcher
F	path	pathCache	ProblemReporter$Collector
F	path	pathPattern	ResourceLocationPattern
F	path	paths	ActiveProfiler
F	path	source	DedicatedServerSettings
F	path	topPath	BiomeParametersDumpReport
F	pattern	filter	SourceFilter
F	pattern	patternStack	LoomScreen
F	pattern	rows	ShapedRecipeBuilder
F	paused	pause	Minecraft
F	periodMs	period	PeriodicNotificationManager$NotificationTask
F	phase	errorSection	Window
F	phase	state	ShootTongue
F	placeholder	hint	EditBox
F	planks	planksState	MineshaftStructure$Type
F	player	owner	BookEditScreen
F	player	selectedPlayer	Cat$CatTemptGoal
F	player	source	ClientSideMerchant
F	playerScreenHandler	inventoryMenu	Player
F	players	detectedPlayers	TrialSpawnerData
F	points	attachments	EntityAttachments,EntityAttachments$Builder
F	points	charges	PotentialCalculator
F	port	serverPort	ChaseClient,ChaseServer,QueryThreadGs4
F	pos	absolutePos	GameTestAssertPosException
F	pos	base	VecDeltaCodec
F	pos	belowPos	Frog$FrogNodeEvaluator
F	pos	blockPos	JukeboxSongPlayer,SculkSensorBlockEntity$VibrationUser
F	pos	centerPosition	BlockPosTracker
F	pos	chunkPos	ChunkAccess,StructureStart
F	pos	cropPos	UseBonemeal
F	pos	cursor	BlockPos$3,BlockPos$4,BlockPos$5
F	pos	entryPosition	PortalProcessor
F	pos	jumpTarget	LongJumpToRandomPos$PossibleJump
F	pos	lastPos	DebugScreenOverlay
F	pos	location	HitResult,ServerboundInteractPacket$InteractionAtLocationAction
F	pos	nextPos	BlockPos$2
F	pos	normal	SheetedDecalTextureGenerator
F	pos	position	Camera,Entity,JsonEventLog$1,PoolElementStructurePiece,WalkAnimationState
F	pos	root	LargeDripstoneFeature$LargeDripstone
F	pos	sourcePos	CollectingNeighborUpdater$MultiNeighborUpdate
F	pos	spawnPos	GameTestServer
F	pos	structureBlockPos	GameTestInfo
F	pos	templatePosition	TemplateStructurePiece
F	pos	worldPosition	BlockEntity
F	position	cursor	BookEditScreen$DisplayCache
F	position	damageSourcePosition	DamageSource
F	position	pos	ChunkPos$1
F	position	rotationPivot	StructurePlaceSettings
F	position	selectionConfig	Pack
F	position	worldPosition	CommandSourceStack
F	primary	isPrimary	BeaconScreen$BeaconPowerButton
F	primary	primaryPower	BeaconBlockEntity
F	profile	authenticatedProfile	ServerLoginPacketListenerImpl
F	profile	gameProfile	ServerConfigurationPacketListenerImpl
F	profile	localGameProfile	ClientConfigurationPacketListenerImpl,ClientPacketListener
F	profile	pack	PackSelectionModel$EntryBase
F	profiler	singleTickProfiler	ActiveMetricsRecorder
F	progress	currentProgress	LoadingOverlay
F	progress	openness	ChestLidController
F	properties	argumentType	ClientboundCommandsPacket$ArgumentNodeStub
F	properties	coloringStates	BlockColors
F	properties	dataSlots	AbstractContainerMenu
F	properties	levelData	Level
F	properties	palette	LeavesFix$Section
F	properties	propertiesByName	StateDefinition
F	properties	serverLevelData	WanderingTraderSpawner
F	properties	template	SingletonArgumentInfo
F	properties	terms	Condition$TerminalCondition
F	properties	vagueProperties	BlockPredicateArgument$TagPredicate
F	properties	values	Variant
F	propertyDelegate	beaconData	BeaconMenu
F	propertyDelegate	brewingStandData	BrewingStandMenu
F	propertyDelegate	containerData	CrafterBlockEntity,CrafterMenu
F	propertyDelegate	data	AbstractFurnaceMenu
F	propertyDelegate	dataAccess	AbstractFurnaceBlockEntity,BeaconBlockEntity,BrewingStandBlockEntity,LecternBlockEntity
F	propertyDelegate	lecternData	LecternMenu
F	provider	constructor	WorldgenRandom$Algorithm
F	provider	delegate	SuggestionProviders$Wrapper
F	provider	shapeGetter	ClipContext$Block
F	quads	unculledFaces	SimpleBakedModel,SimpleBakedModel$Builder
F	queue	mailbox	ProcessorChunkProgressListener
F	queue	queues	StrictQueue$FixedPriorityQueue
F	queue	stack	CollectingNeighborUpdater
F	radius	CENTER_SUPPORT_WIDTH	SupportType$2
F	radius	chunkRadius	ClientChunkCache$Storage
F	radius	distance	Phantom$PhantomCircleAroundAnchorGoal
F	radius	power	ClientboundExplodePacket
F	range	listenerRadius	Allay$JukeboxListener
F	range	listenerRange	GameEventListenerRenderer$TrackedListener
F	range	lookDistance	LookAtPlayerGoal
F	range	maxVisitedNodes	PathFinder
F	range	searchRange	MoveToBlockGoal
F	raw	pattern	ShapedRecipe
F	rawId	id	TelemetryProperty$GameMode
F	ready	initialized	Camera
F	recipeBook	book	RecipeBookComponent,RecipeButton
F	recipeBook	recipeBookComponent	AbstractFurnaceScreen,CraftingScreen,InventoryScreen
F	recipeId	recipe	ClientboundPlaceGhostRecipePacket,ServerboundPlaceRecipePacket,ServerboundRecipeBookSeenRecipePacket
F	recipes	known	RecipeBook
F	registries	codecs	Cloner$Factory
F	registries	entries	RegistrySetBuilder
F	registry	damageTypes	DamageSources
F	registry	pools	JigsawPlacement$Placer
F	registry	registryKey	HolderSetCodec,RegistryFixedCodec
F	registry	registryName	ResourceKey
F	relative	isRelative	AngleArgument$SingleAngle
F	remaining	counter	BlockPos$2
F	remaining	zombiesToSpawn	VillageSiege
F	removed	remove	BlockEntity
F	renderer	levelRenderer	ClientMetricsSamplersProvider,LevelLoadStatusManager
F	reset	resetTimes	ClientboundClearTitlesPacket
F	resistance	explosionResistance	BlockBehaviour,BlockBehaviour$Properties
F	resource	resourceId	SingleFile
F	result	builder	StringTagVisitor
F	result	profilerResultAtTick	RecordedDeviation
F	result	resultSlots	CraftingMenu,GrindstoneMenu
F	result	value	NoiseChunk$NoiseInterpolator
F	revision	stateId	AbstractContainerMenu,ClientboundContainerSetContentPacket,ClientboundContainerSetSlotPacket,ServerboundContainerClickPacket
F	rgb	value	TextColor
F	right	b	Tuple
F	right	rightSide	DecoratedPotRenderer
F	root	rootDir	HashCache
F	root	rootNode	AdvancementTab
F	root	rootTag	CollectToTag
F	row	y	TreeNodePosition
F	rows	blockMap	CodepointMap
F	rows	containerRows	ChestMenu,ContainerScreen
F	rows	rowCount	SwitchGrid$Builder
F	running	isRunning	LanServerPinger,WrappedGoal
F	running	pollinating	Bee$BeePollinateGoal
F	running	started	ProcessorChunkProgressListener,StoringChunkProgressListener
F	running	wantsToRun	ChaseClient,ChaseServer
F	scale	quadSize	SingleQuadParticle
F	scale	radius	LargeDripstoneFeature$LargeDripstone
F	scale	size	CheckerboardColumnBiomeSource
F	scroll	savedScroll	TelemetryInfoScreen
F	sculk	isGlowing	SoulParticle
F	search	filter	WorldSelectionList
F	seed	biomeZoomSeed	BiomeManager
F	seed	enchantmentSeed	EnchantmentMenu
F	seed	selfSeed	NetherFortressPieces$BridgeEndFiller
F	seed	worldSeed	RandomSequences
F	selected	isSelected	GameModeSwitcherScreen$GameModeSlot
F	selected	lastNarratable	Screen
F	selectedSlot	selected	Inventory
F	selectedSlot	selection	SpectatorPage
F	selectedSlot	slot	ServerboundSetCarriedItemPacket
F	self	first	Block$BlockStatePairKey
F	sell	item	VillagerTrades$DyedArmorForEmeralds
F	sell	itemStack	VillagerTrades$ItemsForEmeralds
F	sell	toItem	VillagerTrades$TippedArrowForItemsAndEmeralds
F	sent	eventSent	WorldLoadEvent
F	server	chaseServer	ChaseCommand
F	server	parent	RealmsMainScreen$AvailableSnapshotEntry
F	server	serverData	EditServerScreen,RealmsConfigureWorldScreen,RealmsMainScreen$ServerEntry,ServerSelectionList$NetworkServerEntry,ServerSelectionList$OnlineServerEntry
F	server	serverInterface	QueryThreadGs4,RconClient,RconThread
F	server	singleplayerServer	Minecraft
F	setter	onClicked	SwitchGrid$SwitchBuilder
F	setter	set	ExperienceCommand$Type
F	settings	options	KeyboardInput,OptionsScreen,SoundEngine
F	settings	properties	BlockBehaviour
F	shadow	dropShadow	Font$StringRenderOutput
F	shape	delegate	SliceShape
